pattern|total_frequency |label|label_frequency|
h,h,h,h,h,h,h,h,h,h,h,h,h,h,|59|Botnet-TCP-HTTP-CC-Custom-Encryption|20|
h,h,h,h,h,h,h,h,h,h,h,h,h,h,|59|Normal-TCP-HTTP|26|
h,h,h,h,h,h,h,h,h,h,h,h,h,h,|59|Normal-Jist|13|
,h,h,h,h,h,h,h,h,h,h,h,h,h,h|59|Botnet-TCP-HTTP-CC-Custom-Encryption|20|
,h,h,h,h,h,h,h,h,h,h,h,h,h,h|59|Normal-TCP-HTTP|26|
,h,h,h,h,h,h,h,h,h,h,h,h,h,h|59|Normal-Jist|13|
i0i0i0i0i0i0i0i0i0i0i0i0i0i0|40|Botnet-TCP-IRC-CC-Not-Encrypted|38|
i0i0i0i0i0i0i0i0i0i0i0i0i0i0|40|Normal-TCP-Jabber|2|
0i0i0i0i0i0i0i0i0i0i0i0i0i0i|40|Botnet-TCP-IRC-CC-Not-Encrypted|38|
0i0i0i0i0i0i0i0i0i0i0i0i0i0i|40|Normal-TCP-Jabber|2|
f+f+f+f+f+f+f+f+f+f+f+f+f+f+|8|Botnet-TCP-HTTP-CC-Custom-Port-Not-Encrypted|8|
+f+f+f+f+f+f+f+f+f+f+f+f+f+f|8|Botnet-TCP-HTTP-CC-Custom-Port-Not-Encrypted|8|
u.u.u.u.u.u.u.u.u.u.U.U.u.u.|3|Botnet-ICMP|3|
u.u.u.u.u.u.u.u.U.U.u.u.u.u.|3|Botnet-ICMP|3|
u.u.u.u.u.u.u.U.u.u.u.u.u.U.|3|Botnet-ICMP|3|
u.u.U.U.U.u.u.u.U.U.u.u.u.u.|3|Botnet-ICMP|3|
u.U.U.U.u.u.u.U.U.u.u.u.u.u.|3|Botnet-ICMP|3|
.u.u.u.u.u.u.u.u.u.u.U.U.u.u|3|Botnet-ICMP|3|
.u.u.u.u.u.u.u.u.U.U.u.u.u.u|3|Botnet-ICMP|3|
.u.u.u.u.u.u.u.U.u.u.u.u.u.U|3|Botnet-ICMP|3|
.u.u.U.U.U.u.u.u.U.U.u.u.u.u|3|Botnet-ICMP|3|
.u.U.U.U.u.u.u.U.U.u.u.u.u.u|3|Botnet-ICMP|3|
z.Z.Z.z.Z.Z.z.z.Z.Z.z.I.z.z.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.u.u.u.U.U.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.u.U.U.u.u.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.u.D.u.u.u.U.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.U.u.u.u.u.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.U.u.u.U.u.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.U.U.u.u.U.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.D.u.u.u.u.U.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.D.u.u.u.U.D.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.U.u.u.U.u.u.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.U.U.u.u.u.u.U.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.D.u.u.u.u.U.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.D.u.u.u.U.D.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.U.u.u.u.u.u.u.u.|2|Botnet-ICMP|2|
