pattern|total_frequency |label|label_frequency|
0i0i0i0i0i0i0i0i0i0|50|Botnet-TCP-IRC-CC-Not-Encrypted|43|
0i0i0i0i0i0i0i0i0i0|50|Normal-TCP-Jabber|7|
,h,h,h,h,h,h,h,h,h,|49|Botnet-TCP-HTTP-CC-Custom-Encryption|25|
,h,h,h,h,h,h,h,h,h,|49|Normal-Jist|24|
i0i0i0i0i0i0i0i0i0i|48|Botnet-TCP-IRC-CC-Not-Encrypted|42|
i0i0i0i0i0i0i0i0i0i|48|Normal-TCP-Jabber|6|
h,h,h,h,h,h,h,h,h,h|45|Botnet-TCP-HTTP-CC-Custom-Encryption|24|
h,h,h,h,h,h,h,h,h,h|45|Normal-Jist|21|
.u.u.u.u.u.u.u.u.u.|27|Botnet-ICMP|27|
+f+f+f+f+f+f+f+f+f+|23|Botnet-TCP-HTTP-CC-Custom-Port-Not-Encrypted|23|
.U.u.u.u.u.u.u.u.u.|21|Botnet-ICMP|21|
.U.U.u.u.u.u.u.u.u.|21|Botnet-ICMP|21|
f+f+f+f+f+f+f+f+f+f|20|Botnet-TCP-HTTP-CC-Custom-Port-Not-Encrypted|20|
.u.u.u.u.u.u.u.u.U.|19|Botnet-ICMP|19|
.u.u.u.u.u.u.u.U.U.|19|Botnet-ICMP|19|
.u.u.U.U.u.u.u.u.u.|18|Botnet-ICMP|18|
.u.u.u.U.u.u.u.u.u.|17|Botnet-ICMP|17|
.u.u.u.u.u.U.U.u.u.|16|Botnet-ICMP|16|
.u.u.u.U.U.u.u.u.u.|16|Botnet-ICMP|16|
.u.U.U.u.u.u.u.u.u.|15|Botnet-ICMP|15|
.u.u.u.u.U.u.u.u.u.|14|Botnet-ICMP|14|
.u.u.U.u.u.u.u.u.u.|14|Botnet-ICMP|14|
.u.U.u.u.u.u.u.u.u.|14|Botnet-ICMP|14|
.u.u.u.u.u.u.u.U.u.|13|Botnet-ICMP|13|
.u.u.u.u.u.u.U.u.u.|13|Botnet-ICMP|13|
.u.u.u.u.u.U.u.u.u.|13|Botnet-ICMP|13|
.r.r.r.r.r.r.r.r.r.|13|Botnet-UDP-Attempt|8|
.r.r.r.r.r.r.r.r.r.|13|Normal-Grill|5|
.U.u.u.u.U.U.u.u.u.|13|Botnet-ICMP|13|
u.u.u.u.u.u.u.u.u.u|12|Botnet-ICMP|12|
U.U.u.u.u.u.u.u.u.u|12|Botnet-ICMP|12|
.u.u.u.u.u.u.U.U.u.|12|Botnet-ICMP|12|
.u.u.u.u.u.u.U.U.U.|12|Botnet-ICMP|12|
u.u.u.u.u.u.u.u.u.U|11|Botnet-ICMP|11|
u.u.u.u.u.u.u.U.U.u|11|Botnet-ICMP|11|
u.U.U.u.u.u.u.u.u.u|11|Botnet-ICMP|11|
.u.u.u.u.u.u.D.u.u.|11|Botnet-ICMP|11|
.u.u.u.u.u.D.u.u.u.|11|Botnet-ICMP|11|
.U.u.u.u.u.u.u.u.U.|11|Botnet-ICMP|11|
u.u.u.u.u.u.u.u.U.U|10|Botnet-ICMP|10|
u.u.u.u.u.U.u.u.u.u|10|Botnet-ICMP|10|
r.r.r.r.r.r.r.r.r.r|10|Botnet-UDP-Attempt|6|
r.r.r.r.r.r.r.r.r.r|10|Normal-Grill|4|
U.u.u.u.u.u.u.u.u.u|10|Botnet-ICMP|10|
U.u.u.u.U.U.u.u.u.u|10|Botnet-ICMP|10|
.u.u.u.u.u.u.u.D.u.|10|Botnet-ICMP|10|
.u.u.u.u.u.U.U.U.U.|10|Botnet-ICMP|10|
.u.u.u.u.U.U.u.u.u.|10|Botnet-ICMP|10|
.u.U.U.U.U.u.u.u.u.|10|Botnet-ICMP|10|
.U.U.u.U.U.u.u.u.u.|10|Botnet-ICMP|10|
.U.U.U.u.u.u.u.u.u.|10|Botnet-ICMP|10|
u.u.u.u.U.u.u.u.u.u|9|Botnet-ICMP|9|
u.u.u.U.U.u.u.u.u.u|9|Botnet-ICMP|9|
u.U.u.u.u.u.u.u.u.u|9|Botnet-ICMP|9|
.u.u.u.u.u.u.u.u.D.|9|Botnet-ICMP|9|
.u.u.u.u.u.U.U.U.u.|9|Botnet-ICMP|9|
.u.u.u.u.D.u.u.u.u.|9|Botnet-ICMP|9|
.u.u.U.u.U.u.u.u.u.|9|Botnet-ICMP|9|
.u.u.U.U.U.u.u.u.U.|9|Botnet-ICMP|9|
.u.u.D.u.u.u.u.u.u.|9|Botnet-ICMP|9|
.u.U.u.u.u.U.U.u.u.|9|Botnet-ICMP|9|
.u.U.u.U.u.u.u.u.u.|9|Botnet-ICMP|9|
.U.u.u.u.u.u.U.U.u.|9|Botnet-ICMP|9|
.U.u.u.U.U.u.u.u.u.|9|Botnet-ICMP|9|
.U.u.U.u.u.u.u.u.u.|9|Botnet-ICMP|9|
.U.U.U.u.u.u.U.U.u.|9|Botnet-ICMP|9|
.U.U.U.U.u.u.u.u.u.|9|Botnet-ICMP|9|
.S.S.S.S.S.S.S.S.S.|9|Botnet-TCP-HTTP-Persistent-Down|8|
.S.S.S.S.S.S.S.S.S.|9|Botnet-TCP-SMTP-Attempt-SPAM|1|
u.u.u.u.u.u.u.u.U.u|8|Botnet-ICMP|8|
u.u.u.u.u.u.u.u.D.u|8|Botnet-ICMP|8|
u.u.u.u.u.u.u.D.u.u|8|Botnet-ICMP|8|
u.u.u.u.u.u.U.U.u.u|8|Botnet-ICMP|8|
u.u.u.u.u.U.U.u.u.u|8|Botnet-ICMP|8|
u.u.u.U.u.u.u.u.u.u|8|Botnet-ICMP|8|
u.u.U.U.u.u.u.u.u.u|8|Botnet-ICMP|8|
.u.u.u.u.U.U.u.u.U.|8|Botnet-ICMP|8|
.u.u.u.u.U.U.U.u.U.|8|Botnet-ICMP|8|
.u.u.u.u.U.U.U.U.U.|8|Botnet-ICMP|8|
.u.u.U.u.u.u.u.u.U.|8|Botnet-ICMP|8|
.u.u.U.u.u.u.u.U.u.|8|Botnet-ICMP|8|
.u.u.U.U.U.u.U.U.u.|8|Botnet-ICMP|8|
.u.u.U.U.U.U.u.u.u.|8|Botnet-ICMP|8|
.U.U.u.u.u.u.u.U.U.|8|Botnet-ICMP|8|
.U.U.U.u.U.U.u.u.u.|8|Botnet-ICMP|8|
u.u.u.u.u.u.u.U.u.u|7|Botnet-ICMP|7|
u.u.u.u.u.u.U.u.u.u|7|Botnet-ICMP|7|
u.u.u.u.u.u.D.u.u.u|7|Botnet-ICMP|7|
u.u.u.u.u.U.U.U.U.U|7|Botnet-ICMP|7|
u.u.U.u.u.u.u.u.u.u|7|Botnet-ICMP|7|
u.U.u.u.u.U.U.u.u.u|7|Botnet-ICMP|7|
U.u.u.U.U.u.u.u.u.u|7|Botnet-ICMP|7|
U.u.U.u.u.u.u.u.u.u|7|Botnet-ICMP|7|
U.U.u.u.u.u.u.u.u.U|7|Botnet-ICMP|7|
.u.u.u.u.u.U.u.u.U.|7|Botnet-ICMP|7|
.u.u.u.u.U.u.u.U.u.|7|Botnet-ICMP|7|
.u.u.u.u.U.u.U.u.u.|7|Botnet-ICMP|7|
.u.u.u.u.D.u.u.u.U.|7|Botnet-ICMP|7|
.u.u.u.U.u.u.U.U.U.|7|Botnet-ICMP|7|
.u.u.u.U.U.U.u.U.U.|7|Botnet-ICMP|7|
.u.u.u.D.u.u.u.u.u.|7|Botnet-ICMP|7|
.u.u.U.u.u.U.U.U.u.|7|Botnet-ICMP|7|
.u.u.U.U.u.U.u.u.u.|7|Botnet-ICMP|7|
.u.u.U.U.U.u.u.U.U.|7|Botnet-ICMP|7|
.u.u.U.U.U.U.U.u.u.|7|Botnet-ICMP|7|
.u.U.u.u.u.u.U.u.u.|7|Botnet-ICMP|7|
.u.U.U.u.U.U.u.u.u.|7|Botnet-ICMP|7|
.u.U.U.U.u.u.u.u.u.|7|Botnet-ICMP|7|
.u.U.U.U.u.u.u.U.u.|7|Botnet-ICMP|7|
.u.U.U.U.u.U.U.u.u.|7|Botnet-ICMP|7|
.u.D.u.u.u.u.u.u.u.|7|Botnet-ICMP|7|
.U.u.u.u.u.u.u.U.u.|7|Botnet-ICMP|7|
.U.u.u.u.u.u.u.U.U.|7|Botnet-ICMP|7|
.U.u.u.u.u.u.U.u.u.|7|Botnet-ICMP|7|
.U.u.u.u.U.U.u.U.u.|7|Botnet-ICMP|7|
.U.u.u.U.u.u.u.u.U.|7|Botnet-ICMP|7|
.U.U.u.u.u.U.u.u.u.|7|Botnet-ICMP|7|
.U.U.u.u.U.U.u.u.u.|7|Botnet-ICMP|7|
.U.U.u.U.u.u.u.u.u.|7|Botnet-ICMP|7|
.U.U.U.u.u.u.U.u.u.|7|Botnet-ICMP|7|
.U.U.U.u.u.U.U.u.u.|7|Botnet-ICMP|7|
.U.U.U.U.U.u.u.u.u.|7|Botnet-ICMP|7|
.D.u.u.u.u.u.u.u.u.|7|Botnet-ICMP|7|
u.u.u.u.u.u.u.U.U.U|6|Botnet-ICMP|6|
u.u.u.u.u.u.U.U.U.U|6|Botnet-ICMP|6|
u.u.u.u.u.U.U.u.u.U|6|Botnet-ICMP|6|
u.u.u.u.U.U.u.u.u.u|6|Botnet-ICMP|6|
u.u.u.u.U.U.U.u.U.U|6|Botnet-ICMP|6|
u.u.u.U.u.u.u.u.u.U|6|Botnet-ICMP|6|
U.u.u.u.u.u.u.u.U.U|6|Botnet-ICMP|6|
U.U.u.u.u.U.U.u.u.u|6|Botnet-ICMP|6|
U.U.U.u.u.u.u.u.u.u|6|Botnet-ICMP|6|
U.U.U.u.u.u.U.u.u.u|6|Botnet-ICMP|6|
U.U.U.u.U.U.u.u.u.u|6|Botnet-ICMP|6|
.u.u.u.u.u.u.U.u.U.|6|Botnet-ICMP|6|
.u.u.u.u.u.U.u.U.U.|6|Botnet-ICMP|6|
.u.u.u.u.u.U.U.u.U.|6|Botnet-ICMP|6|
.u.u.u.u.U.U.U.u.u.|6|Botnet-ICMP|6|
.u.u.u.u.U.U.U.U.u.|6|Botnet-ICMP|6|
.u.u.u.U.u.u.U.u.u.|6|Botnet-ICMP|6|
.u.u.u.U.u.U.u.u.u.|6|Botnet-ICMP|6|
.u.u.u.U.u.U.u.u.U.|6|Botnet-ICMP|6|
.u.u.u.U.U.u.u.U.U.|6|Botnet-ICMP|6|
.u.u.u.U.U.u.U.u.u.|6|Botnet-ICMP|6|
.u.u.u.U.U.U.u.u.U.|6|Botnet-ICMP|6|
