pattern|total_frequency |label|label_frequency|
.u.u.u.u.u.u.u.u.|56|Botnet-ICMP|56|
0i0i0i0i0i0i0i0i0|53|Botnet-TCP-IRC-CC-Not-Encrypted|45|
0i0i0i0i0i0i0i0i0|53|Normal-TCP-Jabber|8|
,h,h,h,h,h,h,h,h,|53|Botnet-TCP-HTTP-CC-Custom-Encryption|26|
,h,h,h,h,h,h,h,h,|53|Normal-Jist|27|
i0i0i0i0i0i0i0i0i|50|Botnet-TCP-IRC-CC-Not-Encrypted|43|
i0i0i0i0i0i0i0i0i|50|Normal-TCP-Jabber|7|
h,h,h,h,h,h,h,h,h|49|Botnet-TCP-HTTP-CC-Custom-Encryption|25|
h,h,h,h,h,h,h,h,h|49|Normal-Jist|24|
.U.u.u.u.u.u.u.u.|38|Botnet-ICMP|38|
.u.u.u.u.u.u.u.U.|35|Botnet-ICMP|35|
.U.U.u.u.u.u.u.u.|30|Botnet-ICMP|30|
.u.u.u.u.u.u.U.U.|28|Botnet-ICMP|28|
u.u.u.u.u.u.u.u.u|27|Botnet-ICMP|27|
.u.u.U.U.u.u.u.u.|27|Botnet-ICMP|27|
.u.U.U.u.u.u.u.u.|27|Botnet-ICMP|27|
.u.u.U.u.u.u.u.u.|26|Botnet-ICMP|26|
+f+f+f+f+f+f+f+f+|26|Botnet-TCP-HTTP-CC-Custom-Port-Not-Encrypted|26|
.u.u.u.u.u.U.U.u.|25|Botnet-ICMP|25|
.u.u.u.U.U.u.u.u.|25|Botnet-ICMP|25|
.u.u.u.U.u.u.u.u.|24|Botnet-ICMP|24|
f+f+f+f+f+f+f+f+f|23|Botnet-TCP-HTTP-CC-Custom-Port-Not-Encrypted|23|
.u.u.u.u.u.u.U.u.|23|Botnet-ICMP|23|
.u.U.u.u.u.u.u.u.|23|Botnet-ICMP|23|
.u.u.u.u.U.U.u.u.|22|Botnet-ICMP|22|
U.u.u.u.u.u.u.u.u|21|Botnet-ICMP|21|
U.U.u.u.u.u.u.u.u|21|Botnet-ICMP|21|
.u.u.u.u.u.U.u.u.|21|Botnet-ICMP|21|
.u.u.u.u.u.U.U.U.|21|Botnet-ICMP|21|
.r.r.r.r.r.r.r.r.|20|Botnet-UDP-Attempt|12|
.r.r.r.r.r.r.r.r.|20|Normal-Grill|7|
.r.r.r.r.r.r.r.r.|20|Normal-UDP-DNS|1|
u.u.u.u.u.u.u.u.U|19|Botnet-ICMP|19|
u.u.u.u.u.u.u.U.U|19|Botnet-ICMP|19|
.u.u.u.u.U.u.u.u.|19|Botnet-ICMP|19|
.u.u.u.u.D.u.u.u.|19|Botnet-ICMP|19|
.U.u.U.u.u.u.u.u.|19|Botnet-ICMP|19|
u.u.U.U.u.u.u.u.u|18|Botnet-ICMP|18|
.u.u.u.u.u.D.u.u.|18|Botnet-ICMP|18|
.U.U.U.U.u.u.u.u.|18|Botnet-ICMP|18|
u.u.u.U.u.u.u.u.u|17|Botnet-ICMP|17|
.u.u.u.u.U.U.U.U.|17|Botnet-ICMP|17|
.U.u.u.u.u.u.U.U.|17|Botnet-ICMP|17|
.U.U.U.u.u.u.u.u.|17|Botnet-ICMP|17|
u.u.u.u.u.U.U.u.u|16|Botnet-ICMP|16|
u.u.u.U.U.u.u.u.u|16|Botnet-ICMP|16|
.u.u.u.u.U.U.U.u.|16|Botnet-ICMP|16|
.u.u.U.U.U.u.u.u.|16|Botnet-ICMP|16|
.U.u.u.u.U.U.u.u.|16|Botnet-ICMP|16|
.U.U.u.U.U.u.u.u.|16|Botnet-ICMP|16|
u.U.U.u.u.u.u.u.u|15|Botnet-ICMP|15|
r.r.r.r.r.r.r.r.r|15|Botnet-UDP-Attempt|9|
r.r.r.r.r.r.r.r.r|15|Normal-Grill|6|
.u.u.u.u.u.u.u.D.|15|Botnet-ICMP|15|
.u.u.u.u.u.u.D.u.|15|Botnet-ICMP|15|
.u.u.u.u.U.u.u.U.|15|Botnet-ICMP|15|
.u.U.u.U.u.u.u.u.|15|Botnet-ICMP|15|
.u.U.U.U.U.u.u.u.|15|Botnet-ICMP|15|
.U.u.u.U.U.u.u.u.|15|Botnet-ICMP|15|
u.u.u.u.U.u.u.u.u|14|Botnet-ICMP|14|
u.u.U.u.u.u.u.u.u|14|Botnet-ICMP|14|
u.U.u.u.u.u.u.u.u|14|Botnet-ICMP|14|
.u.u.u.U.U.U.u.u.|14|Botnet-ICMP|14|
.u.u.U.u.u.u.u.U.|14|Botnet-ICMP|14|
.u.u.D.u.u.u.u.u.|14|Botnet-ICMP|14|
.u.U.u.u.u.U.U.u.|14|Botnet-ICMP|14|
.u.D.u.u.u.u.u.u.|14|Botnet-ICMP|14|
.U.u.u.u.u.u.u.U.|14|Botnet-ICMP|14|
.U.u.u.U.u.u.u.u.|14|Botnet-ICMP|14|
.U.u.U.U.u.u.u.u.|14|Botnet-ICMP|14|
.U.U.u.u.U.U.u.u.|14|Botnet-ICMP|14|
.D.u.u.u.u.u.u.u.|14|Botnet-ICMP|14|
u.u.u.u.u.u.u.U.u|13|Botnet-ICMP|13|
u.u.u.u.u.u.U.u.u|13|Botnet-ICMP|13|
u.u.u.u.u.U.u.u.u|13|Botnet-ICMP|13|
U.u.u.u.U.U.u.u.u|13|Botnet-ICMP|13|
.u.u.u.U.u.U.u.u.|13|Botnet-ICMP|13|
.u.u.U.u.U.u.u.u.|13|Botnet-ICMP|13|
.u.u.U.U.u.U.u.u.|13|Botnet-ICMP|13|
.u.u.U.U.U.U.u.u.|13|Botnet-ICMP|13|
.u.U.u.u.u.u.u.U.|13|Botnet-ICMP|13|
.U.u.u.u.u.u.U.u.|13|Botnet-ICMP|13|
.U.U.u.u.u.u.u.U.|13|Botnet-ICMP|13|
.U.U.u.u.u.U.U.u.|13|Botnet-ICMP|13|
.S.S.S.S.S.S.S.S.|13|Botnet-TCP-HTTP-Persistent-Down|11|
.S.S.S.S.S.S.S.S.|13|Botnet-TCP-SMTP-Attempt-SPAM|2|
u.u.u.u.u.u.U.U.u|12|Botnet-ICMP|12|
u.u.u.u.u.u.U.U.U|12|Botnet-ICMP|12|
.u.u.u.U.u.u.U.u.|12|Botnet-ICMP|12|
