pattern|total_frequency |label|label_frequency|
u.|3445|Botnet-ICMP|3333|
u.|3445|Normal-UDP-DNS|112|
.u|3443|Botnet-ICMP|3331|
.u|3443|Normal-UDP-DNS|112|
U.|2325|Botnet-ICMP|2101|
U.|2325|Normal-TCP-HTTP-CVUT-WebServer|6|
U.|2325|Normal-UDP-DNS|218|
.U|2317|Botnet-ICMP|2102|
.U|2317|Normal-TCP-HTTP-CVUT-WebServer|4|
.U|2317|Normal-UDP-DNS|211|
.D|681|Botnet-ICMP|637|
.D|681|Normal-UDP-DNS|44|
D.|680|Botnet-ICMP|637|
D.|680|Normal-UDP-DNS|43|
.S|520|Botnet-TCP-HTTP-Persistent-Down|504|
.S|520|Normal-UDP-DNS|16|
S.|518|Botnet-TCP-HTTP-Persistent-Down|503|
S.|518|Normal-UDP-DNS|15|
.R|458|Botnet-TCP-CC-Not-Encrypted|3|
.R|458|Normal-Grill|9|
.R|458|Normal-Jist|2|
.R|458|Normal-TCP-HTTP-CVUT-WebServer|7|
.R|458|Normal-UDP-DNS|437|
R.|449|Normal-Stribrek|1|
R.|449|Normal-Grill|9|
R.|449|Normal-Jist|2|
R.|449|Normal-TCP-HTTP-CVUT-WebServer|5|
R.|449|Normal-UDP-DNS|432|
s.|386|Botnet-TCP-HTTP-Persistent-Down|381|
s.|386|Normal-UDP-DNS|5|
.s|385|Botnet-TCP-HTTP-Persistent-Down|380|
.s|385|Normal-UDP-DNS|5|
.r|316|Normal-Grill|80|
.r|316|Normal-Stribrek|9|
.r|316|Normal-UDP-DNS|227|
r.|313|Normal-Grill|78|
r.|313|Normal-Stribrek|8|
r.|313|Normal-UDP-DNS|227|
.z|195|Botnet-ICMP|170|
.z|195|Botnet-TCP-SMTP-Not-Encrypted-Private-Proxy|22|
.z|195|Botnet-TCP-HTTP-Persistent-Down|2|
.z|195|Botnet-TCP-Established-Custom-Encryption|1|
z.|188|Botnet-ICMP|168|
z.|188|Botnet-TCP-SMTP-Not-Encrypted-Private-Proxy|18|
z.|188|Botnet-TCP-HTTP-Persistent-Down|2|
,y|169|Botnet-TCP-HTTP-Google-Net-Established|1|
,y|169|Botnet-TCP-HTTP-CC-Custom-Encryption|64|
,y|169|Botnet-TCP-Established-AVG|2|
,y|169|Botnet-TCP-CC-Not-Encrypted|32|
,y|169|Botnet-TCP-SMTP-Not-Encrypted-Private-Proxy|46|
,y|169|Botnet-TCP-HTTPS-Established-Microsoft|8|
,y|169|Botnet-TCP-HTTP-Established-Microsoft-Live|1|
,y|169|Botnet-TCP-HTTP-Established-SSL|8|
,y|169|Botnet-TCP-Established-Custom-Encryption|7|
d.|163|Botnet-ICMP|142|
d.|163|Normal-UDP-DNS|21|
.d|163|Botnet-ICMP|142|
.d|163|Normal-UDP-DNS|21|
y,|157|Botnet-TCP-HTTP-CC-Custom-Encryption|65|
y,|157|Botnet-TCP-Established-AVG|2|
y,|157|Botnet-TCP-CC-Not-Encrypted|31|
y,|157|Botnet-TCP-SMTP-Not-Encrypted-Private-Proxy|38|
y,|157|Botnet-TCP-HTTPS-Established-Microsoft|8|
y,|157|Botnet-TCP-HTTP-Established-Microsoft-Live|1|
y,|157|Botnet-TCP-HTTP-Established-SSL|8|
y,|157|Botnet-TCP-Established-Custom-Encryption|4|
Z.|132|Botnet-TCP-Established-AVG|1|
Z.|132|Botnet-ICMP|122|
Z.|132|Botnet-UDP-DNS|1|
Z.|132|Botnet-TCP-SMTP-Not-Encrypted-Private-Proxy|4|
