pattern|total_frequency |label|label_frequency|
.u.u.u.u.u.|361|Botnet-ICMP|361|
u.u.u.u.u.u|199|Botnet-ICMP|199|
.U.u.u.u.u.|179|Botnet-ICMP|178|
.U.u.u.u.u.|179|Normal-UDP-DNS|1|
.u.u.u.u.U.|170|Botnet-ICMP|167|
.u.u.u.u.U.|170|Normal-UDP-DNS|3|
.U.U.u.u.u.|155|Botnet-ICMP|155|
.u.u.u.U.U.|149|Botnet-ICMP|146|
.u.u.u.U.U.|149|Normal-UDP-DNS|3|
.u.U.U.u.u.|137|Botnet-ICMP|136|
.u.U.U.u.u.|137|Normal-UDP-DNS|1|
.u.u.U.U.u.|133|Botnet-ICMP|132|
.u.u.U.U.u.|133|Normal-UDP-DNS|1|
.u.u.u.U.u.|131|Botnet-ICMP|131|
.u.U.u.u.u.|129|Botnet-ICMP|128|
.u.U.u.u.u.|129|Normal-UDP-DNS|1|
.u.u.U.u.u.|128|Botnet-ICMP|128|
U.u.u.u.u.u|110|Botnet-ICMP|110|
.u.u.U.U.U.|106|Botnet-ICMP|105|
.u.u.U.U.U.|106|Normal-UDP-DNS|1|
u.u.u.u.u.U|98|Botnet-ICMP|98|
.U.u.u.u.U.|90|Botnet-ICMP|90|
.U.U.U.u.u.|90|Botnet-ICMP|90|
u.u.u.u.U.U|85|Botnet-ICMP|83|
u.u.u.u.U.U|85|Normal-UDP-DNS|2|
.U.u.u.U.U.|85|Botnet-ICMP|84|
.U.u.u.U.U.|85|Normal-UDP-DNS|1|
U.U.u.u.u.u|84|Botnet-ICMP|84|
u.U.U.u.u.u|83|Botnet-ICMP|83|
.u.U.U.U.U.|83|Botnet-ICMP|80|
.u.U.U.U.U.|83|Normal-UDP-DNS|3|
.U.U.U.U.U.|82|Botnet-ICMP|68|
.U.U.U.U.U.|82|Normal-UDP-DNS|14|
.U.U.U.U.u.|80|Botnet-ICMP|80|
.D.u.u.u.u.|79|Botnet-ICMP|78|
.D.u.u.u.u.|79|Normal-UDP-DNS|1|
.U.u.U.u.u.|78|Botnet-ICMP|77|
.U.u.U.u.u.|78|Normal-UDP-DNS|1|
.u.U.u.u.U.|77|Botnet-ICMP|77|
.U.U.u.u.U.|77|Botnet-ICMP|76|
.U.U.u.u.U.|77|Normal-UDP-DNS|1|
u.U.u.u.u.u|76|Botnet-ICMP|75|
u.U.u.u.u.u|76|Normal-UDP-DNS|1|
.u.u.u.u.D.|76|Botnet-ICMP|76|
.u.u.D.u.u.|76|Botnet-ICMP|75|
.u.u.D.u.u.|76|Normal-UDP-DNS|1|
.U.u.U.U.u.|76|Botnet-ICMP|76|
u.u.U.U.u.u|75|Botnet-ICMP|75|
.u.u.u.D.u.|75|Botnet-ICMP|75|
u.u.u.u.U.u|74|Botnet-ICMP|74|
u.u.u.U.U.u|73|Botnet-ICMP|73|
.u.U.U.U.u.|73|Botnet-ICMP|73|
.U.u.u.U.u.|72|Botnet-ICMP|72|
u.u.U.u.u.u|71|Botnet-ICMP|71|
.u.u.U.u.U.|71|Botnet-ICMP|70|
.u.u.U.u.U.|71|Normal-UDP-DNS|1|
u.u.u.U.u.u|70|Botnet-ICMP|70|
.u.D.u.u.u.|66|Botnet-ICMP|65|
.u.D.u.u.u.|66|Normal-UDP-DNS|1|
.U.U.u.U.U.|66|Botnet-ICMP|65|
.U.U.u.U.U.|66|Normal-UDP-DNS|1|
,h,h,h,h,h,|66|Botnet-TCP-HTTP-CC-Custom-Encryption|29|
,h,h,h,h,h,|66|Botnet-TCP-CC-Not-Encrypted|1|
,h,h,h,h,h,|66|Normal-Jist|36|
.u.U.U.u.U.|63|Botnet-ICMP|62|
.u.U.U.u.U.|63|Normal-UDP-DNS|1|
h,h,h,h,h,h|61|Botnet-TCP-HTTP-CC-Custom-Encryption|28|
h,h,h,h,h,h|61|Normal-Jist|33|
u.u.u.U.U.U|59|Botnet-ICMP|58|
u.u.u.U.U.U|59|Normal-UDP-DNS|1|
.r.r.r.r.r.|59|Botnet-UDP-Attempt|29|
.r.r.r.r.r.|59|Normal-Grill|16|
.r.r.r.r.r.|59|Normal-Stribrek|2|
.r.r.r.r.r.|59|Normal-UDP-DNS|12|
.u.U.u.U.u.|58|Botnet-ICMP|58|
.u.U.u.U.U.|57|Botnet-ICMP|56|
.u.U.u.U.U.|57|Normal-UDP-DNS|1|
.U.U.u.U.u.|57|Botnet-ICMP|57|
.U.U.U.u.U.|55|Botnet-ICMP|54|
.U.U.U.u.U.|55|Normal-UDP-DNS|1|
U.U.U.u.u.u|54|Botnet-ICMP|54|
u.u.U.U.U.u|53|Botnet-ICMP|53|
0i0i0i0i0i0|52|Botnet-TCP-IRC-CC-Not-Encrypted|51|
0i0i0i0i0i0|52|Normal-TCP-Jabber|1|
u.u.u.u.D.u|49|Botnet-ICMP|49|
i0i0i0i0i0i|49|Botnet-TCP-IRC-CC-Not-Encrypted|49|
U.U.u.u.u.U|49|Botnet-ICMP|49|
u.u.u.D.u.u|46|Botnet-ICMP|46|
U.u.u.u.u.U|46|Botnet-ICMP|45|
U.u.u.u.u.U|46|Normal-UDP-DNS|1|
u.u.U.U.U.U|45|Botnet-ICMP|44|
u.u.U.U.U.U|45|Normal-UDP-DNS|1|
r.r.r.r.r.r|45|Botnet-UDP-Attempt|22|
r.r.r.r.r.r|45|Normal-Grill|15|
r.r.r.r.r.r|45|Normal-Stribrek|1|
r.r.r.r.r.r|45|Normal-UDP-DNS|7|
U.u.U.u.u.u|45|Botnet-ICMP|44|
U.u.U.u.u.u|45|Normal-UDP-DNS|1|
U.u.U.U.u.u|45|Botnet-ICMP|45|
U.U.U.U.u.u|45|Botnet-ICMP|45|
.U.u.U.U.U.|45|Botnet-ICMP|44|
.U.u.U.U.U.|45|Normal-UDP-DNS|1|
U.u.u.u.U.U|44|Botnet-ICMP|44|
U.u.u.U.U.u|44|Botnet-ICMP|43|
U.u.u.U.U.u|44|Normal-UDP-DNS|1|
D.u.u.u.u.u|44|Botnet-ICMP|44|
u.u.u.u.u.D|43|Botnet-ICMP|43|
u.u.U.u.u.U|43|Botnet-ICMP|43|
u.u.u.U.u.U|41|Botnet-ICMP|41|
U.u.u.U.u.u|41|Botnet-ICMP|41|
U.U.u.u.U.U|41|Botnet-ICMP|40|
U.U.u.u.U.U|41|Normal-UDP-DNS|1|
u.u.D.u.u.u|40|Botnet-ICMP|39|
u.u.D.u.u.u|40|Normal-UDP-DNS|1|
u.U.U.U.u.u|40|Botnet-ICMP|40|
.u.D.u.u.U.|40|Botnet-ICMP|40|
u.U.u.U.u.u|39|Botnet-ICMP|39|
u.D.u.u.u.u|39|Botnet-ICMP|39|
U.U.u.U.U.u|39|Botnet-ICMP|39|
u.U.u.u.U.U|38|Botnet-ICMP|38|
