pattern|total_frequency |label|label_frequency|
,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,|39|Botnet-TCP-HTTP-CC-Custom-Encryption|15|
,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,|39|Normal-TCP-HTTP|21|
,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,|39|Normal-Jist|3|
h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h|36|Botnet-TCP-HTTP-CC-Custom-Encryption|14|
h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h|36|Normal-TCP-HTTP|20|
h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h|36|Normal-Jist|2|
0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0|33|Botnet-TCP-IRC-CC-Not-Encrypted|33|
i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i|32|Botnet-TCP-IRC-CC-Not-Encrypted|32|
0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0|21|Normal-UDP-NTP-server|21|
f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f|20|Normal-UDP-NTP-server|20|
88,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,|2|Botnet-TCP-HTTP-CC-Custom-Encryption|1|
88,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,|2|Normal-TCP-HTTP|1|
8,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h|2|Botnet-TCP-HTTP-CC-Custom-Encryption|1|
8,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h|2|Normal-TCP-HTTP|1|
,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,y,|2|Botnet-TCP-HTTP-CC-Custom-Encryption|1|
,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,y,|2|Normal-Jist|1|
+f+f+f+f+f+f+f+f+f+f+f+f+f+f+f+f+f+f+f+|2|Botnet-TCP-HTTP-CC-Custom-Port-Not-Encrypted|2|
